operator,stage,geo,year,P1_0_14,P2_15_64,P3_65plus,P_tot
empirical_transition,after_aging,Alberta,2022,768306.0,2972902.4000000004,690322.6,4431531.0
empirical_transition,after_aging,Alberta,2023,771841.8,3017516.0,723373.2000000001,4512731.0
empirical_transition,after_aging,Alberta,2024,786182.4000000001,3141101.6,761292.0,4688576.0
empirical_transition,after_aging,Alberta,2025,806427.2000000001,3303014.6,799588.2000000001,4909030.0
empirical_transition,after_aging,British Columbia,2022,682838.8,3453751.6,1090074.6,5226665.0
empirical_transition,after_aging,British Columbia,2023,689424.8,3542705.0000000005,1126715.2,5358845.000000001
empirical_transition,after_aging,British Columbia,2024,692513.2000000001,3658645.8000000003,1164137.0,5515296.0
empirical_transition,after_aging,British Columbia,2025,696009.4,3771694.2,1203410.4000000001,5671114.000000001
empirical_transition,after_aging,Manitoba,2022,242219.60000000003,903041.2000000001,246663.2,1391924.0
empirical_transition,after_aging,Manitoba,2023,242742.40000000002,917106.2000000001,253649.40000000002,1413498.0
empirical_transition,after_aging,Manitoba,2024,245336.80000000002,946428.4000000001,261436.80000000002,1453202.0000000002
empirical_transition,after_aging,Manitoba,2025,248038.2,974440.0,269665.8,1492144.0
empirical_transition,after_aging,New Brunswick,2022,103974.4,495568.80000000005,191258.80000000002,790802.0000000001
empirical_transition,after_aging,New Brunswick,2023,106159.6,504867.80000000005,197841.6,808869.0
empirical_transition,after_aging,New Brunswick,2024,108988.4,517901.4,204213.2,831103.0
empirical_transition,after_aging,New Brunswick,2025,112091.4,535974.6,210227.0,858293.0
empirical_transition,after_aging,Newfoundland and Labrador,2022,63673.8,331488.80000000005,131893.4,527056.0
empirical_transition,after_aging,Newfoundland and Labrador,2023,63449.00000000001,332116.4,135691.6,531257.0
empirical_transition,after_aging,Newfoundland and Labrador,2024,63291.200000000004,335817.80000000005,139680.0,538789.0
empirical_transition,after_aging,Newfoundland and Labrador,2025,63095.4,340149.60000000003,143624.0,546869.0
empirical_transition,after_aging,Nova Scotia,2022,128963.20000000001,637508.8,233436.0,999908.0
empirical_transition,after_aging,Nova Scotia,2023,131601.40000000002,651133.2000000001,241299.40000000002,1024034.0000000001
empirical_transition,after_aging,Nova Scotia,2024,134018.2,670175.0,248811.80000000002,1053005.0
empirical_transition,after_aging,Nova Scotia,2025,135892.2,690769.8,256107.0,1082769.0
empirical_transition,after_aging,Ontario,2022,2145914.2,9827347.200000001,2869226.6,14842488.000000002
empirical_transition,after_aging,Ontario,2023,2152505.6,10038321.200000001,2965009.2,15155836.0
empirical_transition,after_aging,Ontario,2024,2168230.2,10398508.200000001,3065742.6,15632481.000000002
empirical_transition,after_aging,Ontario,2025,2197735.8,10772187.8,3174873.4000000004,16144797.000000002
empirical_transition,after_aging,Prince Edward Island,2022,22468.4,104045.6,35619.0,162133.0
empirical_transition,after_aging,Prince Edward Island,2023,22865.800000000003,107409.20000000001,36925.0,167200.0
empirical_transition,after_aging,Prince Edward Island,2024,23063.0,112485.40000000001,38185.6,173734.00000000003
empirical_transition,after_aging,Prince Edward Island,2025,23392.4,116965.0,39351.6,179709.0
empirical_transition,after_aging,Quebec,2022,1270217.6,5449076.4,1852726.0000000002,8572020.0
empirical_transition,after_aging,Quebec,2023,1276192.4000000001,5480300.600000001,1913470.0000000002,8669963.000000002
empirical_transition,after_aging,Quebec,2024,1281904.4,5566541.800000001,1973249.8000000003,8821696.000000002
empirical_transition,after_aging,Quebec,2025,1285159.4000000001,5678265.8,2032048.8,8995474.0
empirical_transition,after_aging,Saskatchewan,2022,211192.6,742873.2000000001,213645.2,1167711.0
empirical_transition,after_aging,Saskatchewan,2023,211485.8,747514.2000000001,219796.0,1178796.0
empirical_transition,after_aging,Saskatchewan,2024,214529.2,768931.2000000001,226796.6,1210257.0000000002
empirical_transition,after_aging,Saskatchewan,2025,217248.0,796807.8,233812.2,1247868.0
empirical_transition,after_aging,Yukon,2022,6577.4,29591.800000000003,6791.8,42961.00000000001
empirical_transition,after_aging,Yukon,2023,6631.8,30198.0,7039.2,43869.0
empirical_transition,after_aging,Yukon,2024,6745.400000000001,31299.600000000002,7374.0,45419.0
empirical_transition,after_aging,Yukon,2025,6886.6,33018.0,7690.400000000001,47595.0
empirical_transition,after_births,Alberta,2022,816416.0,2972902.4000000004,690322.6,4479641.0
empirical_transition,after_births,Alberta,2023,819792.8,3017516.0,723373.2000000001,4560682.0
empirical_transition,after_births,Alberta,2024,836210.4,3141101.6,761292.0,4738604.0
empirical_transition,after_births,Alberta,2025,858873.2000000001,3303014.6,799588.2000000001,4961476.0
empirical_transition,after_births,British Columbia,2022,725851.8,3453751.6,1090074.6,5269678.0
empirical_transition,after_births,British Columbia,2023,730634.8,3542705.0000000005,1126715.2,5400055.000000001
empirical_transition,after_births,British Columbia,2024,735231.2000000001,3658645.8000000003,1164137.0,5558014.0
empirical_transition,after_births,British Columbia,2025,740380.4,3771694.2,1203410.4000000001,5715485.000000001
empirical_transition,after_births,Manitoba,2022,258008.60000000003,903041.2000000001,246663.2,1407713.0
empirical_transition,after_births,Manitoba,2023,258224.40000000002,917106.2000000001,253649.40000000002,1428980.0
empirical_transition,after_births,Manitoba,2024,260933.80000000002,946428.4000000001,261436.80000000002,1468799.0000000002
empirical_transition,after_births,Manitoba,2025,263858.2,974440.0,269665.8,1507964.0
empirical_transition,after_births,New Brunswick,2022,110353.4,495568.80000000005,191258.80000000002,797181.0000000001
empirical_transition,after_births,New Brunswick,2023,112304.6,504867.80000000005,197841.6,815014.0
empirical_transition,after_births,New Brunswick,2024,115326.4,517901.4,204213.2,837441.0
empirical_transition,after_births,New Brunswick,2025,118709.40000000001,535974.6,210227.0,864911.0
empirical_transition,after_births,Newfoundland and Labrador,2022,67468.8,331488.80000000005,131893.4,530851.0
empirical_transition,after_births,Newfoundland and Labrador,2023,66764.0,332116.4,135691.6,534572.0
empirical_transition,after_births,Newfoundland and Labrador,2024,66606.2,335817.80000000005,139680.0,542104.0
empirical_transition,after_births,Newfoundland and Labrador,2025,66513.4,340149.60000000003,143624.0,550287.0
empirical_transition,after_births,Nova Scotia,2022,136902.2,637508.8,233436.0,1007847.0
empirical_transition,after_births,Nova Scotia,2023,139539.40000000002,651133.2000000001,241299.40000000002,1031972.0000000001
empirical_transition,after_births,Nova Scotia,2024,141954.2,670175.0,248811.80000000002,1060941.0
empirical_transition,after_births,Nova Scotia,2025,143827.2,690769.8,256107.0,1090704.0
empirical_transition,after_births,Ontario,2022,2284853.2,9827347.200000001,2869226.6,14981427.000000002
